 benchmarks to run PingPong 
#------------------------------------------------------------
#    Intel (R) MPI Benchmarks 4.0, MPI-1 part    
#------------------------------------------------------------
# Date                  : Mon Nov 26 15:53:14 2018
# Machine               : x86_64
# System                : Linux
# Release               : 2.6.32-573.12.1.el6.x86_64
# Version               : #1 SMP Wed Dec 16 11:39:16 CET 2015
# MPI Version           : 3.0
# MPI Thread Environment: 

# New default behavior from Version 3.2 on:

# the number of iterations per message size is cut down 
# dynamically when a certain run time (per message size sample) 
# is expected to be exceeded. Time limit is defined by variable 
# "SECS_PER_SAMPLE" (=> IMB_settings.h) 
# or through the flag => -time 
  


# Calling sequence was: 

# ./IMB-MPI1 PingPong

# Minimum message length in bytes:   0
# Maximum message length in bytes:   4194304
#
# MPI_Datatype                   :   MPI_BYTE 
# MPI_Datatype for reductions    :   MPI_FLOAT
# MPI_Op                         :   MPI_SUM  
#
#

# List of Benchmarks to run:

# PingPong

#---------------------------------------------------
# Benchmarking PingPong 
# #processes = 2 
#---------------------------------------------------
       #bytes #repetitions      t[usec]   Mbytes/sec
            0         1000         0.52         0.00
            1         1000         0.58         1.66
            2         1000         0.52         3.64
            4         1000         0.52         7.29
            8         1000         0.53        14.52
           16         1000         0.52        29.09
           32         1000         0.54        56.99
           64         1000         0.57       108.02
          128         1000         0.58       211.18
          256         1000         0.61       403.47
          512         1000         0.79       618.08
         1024         1000         0.96      1013.11
         2048         1000         1.22      1597.04
         4096         1000         1.85      2110.80
         8192         1000         3.28      2379.67
        16384         1000         5.85      2668.89
        32768         1000        11.25      2776.66
        65536          640        12.70      4922.46
       131072          320        23.88      5235.60
       262144          160        42.72      5852.25
       524288           80        89.25      5602.21
      1048576           40       184.13      5431.01
      2097152           20       375.72      5323.06
      4194304           10       755.74      5292.83


# All processes entering MPI_Finalize

